Epoch,Loss,Accuracy
1,4.2566,0.3405
2,1.3287,0.3358
3,1.2993,0.3330
4,1.2838,0.3428
5,1.2750,0.3852
6,1.2687,0.3982
7,1.2690,0.3926
8,1.2684,0.3950
9,1.2699,0.3982
10,1.2701,0.3926
11,1.2707,0.3931
12,1.2682,0.3959
13,1.2688,0.3922
14,1.2701,0.3968
15,1.2712,0.3950
16,1.2700,0.3968
17,1.2681,0.3950
18,1.2698,0.3950
19,1.2679,0.3959
20,1.2705,0.3964
21,1.2699,0.3968
22,1.2679,0.3931
23,1.2688,0.3973
24,1.2694,0.3954
25,1.2700,0.3964
26,1.2689,0.3950
27,1.2685,0.3959
28,1.2700,0.3959
29,1.2686,0.3964
30,1.2585,0.3973
